[29/Mar/2014:00:13:39 -0700] Server.httpServe: START, binding to [http://0.0.0.0:4444/]
[29/Mar/2014:00:14:28 -0700] Server.httpServe: START, binding to [http://0.0.0.0:4444/]
[29/Mar/2014:00:16:14 -0700] Server.httpServe: START, binding to [http://0.0.0.0:4444/]
[30/Mar/2014:00:54:26 -0700] Server.httpServe: START, binding to [http://0.0.0.0:4444/]
[30/Mar/2014:00:58:40 -0700] Server.httpServe: START, binding to [http://0.0.0.0:4444/]
[30/Mar/2014:00:58:55 -0700] Server.httpServe: START, binding to [http://0.0.0.0:4444/]
[30/Mar/2014:01:01:14 -0700] Server.httpServe: START, binding to [http://0.0.0.0:4444/]
[06/Apr/2014:12:28:38 -0700] Server.httpServe: START, binding to [http://0.0.0.0:4444/]
[06/Apr/2014:12:42:45 -0700] Server.httpServe: START, binding to [http://0.0.0.0:4444/]
[06/Apr/2014:14:39:15 -0700] Server.httpServe: START, binding to [http://0.0.0.0:4444/]
[08/Apr/2014:09:20:25 -0700] Server.httpServe: START, binding to [http://0.0.0.0:4444/]
